Ticker,Sector,Last Close,5D Return (%),EMA20 Condition
XLE,Energy,57.68,4.72,Above EMA20
XLRE,Real Estate,45.42,2.18,Above EMA20
XLP,Consumer Staples,85.19,1.27,Above EMA20
XLF,Financials,56.26,0.99,Above EMA20
XLV,Health Care,161.09,0.16,Above EMA20
XLU,Utilities,45.17,-0.53,Below EMA20
XLB,Materials,50.53,-0.71,Below EMA20
XLC,Communication Services,110.65,-0.89,Below EMA20
XLI,Industrials,179.41,-1.38,Below EMA20
XLY,Consumer Discretionary,115.44,-1.54,Below EMA20
XLK,Technology,175.59,-5.48,Below EMA20
